time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837019.69999003,0.03185392,0.00252290,0.00000503,71623.00000000,0.04385846,0.000000,0.000000
1577837019.79981494,0.03182654,0.00319527,0.00000327,71641.00000000,0.02090126,0.000000,0.000000
1577837019.89967895,0.03180771,0.00337595,0.00000388,71640.00000000,0.02427665,0.000000,0.000000
1577837019.99952507,0.03177955,0.00257270,0.00000360,71648.00000000,0.02048759,0.000000,0.000000
1577837020.09935904,0.03175369,0.00275583,0.00000360,71649.00000000,0.02135551,0.000000,0.000000
1577837020.19999909,0.03177592,0.00295222,0.00000510,71655.00000000,0.04073436,0.000000,0.000000
1577837020.29983687,0.03179665,0.00358750,0.00000511,71680.00000000,0.04017374,0.000000,0.000000
1577837020.39969206,0.03177335,0.00283824,0.00000360,71726.00000000,0.02233456,0.000000,0.000000
1577837020.49952698,0.03175125,0.00294873,0.00000347,71777.00000000,0.02278197,0.000000,0.000000
1577837020.59934902,0.03177541,0.00348763,0.00000692,71844.00000000,0.04160522,0.000000,0.000000
1577837020.69999099,0.03174929,0.00246975,0.00000348,71857.00000000,0.02109409,0.000000,0.000000
1577837020.79982376,0.03173065,0.00332406,0.00000393,71856.00000000,0.02410750,0.000000,0.000000
1577837020.89966798,0.03174760,0.00339977,0.00000426,71885.00000000,0.03869756,0.000000,0.000000
1577837020.99950218,0.03171443,0.00243679,0.00000328,71893.00000000,0.01808034,0.000000,0.000000
1577837021.09934115,0.03169405,0.00355733,0.00000382,71911.00000000,0.02329621,0.000000,0.000000
1577837021.19997501,0.03167717,0.00292687,0.00000391,71834.00000000,0.02470597,0.000000,0.000000
1577837021.29982591,0.03167719,0.00350753,0.00000468,71854.00000000,0.03168472,0.000000,0.000000
1577837021.39965796,0.03166408,0.00404301,0.00000408,71848.00000000,0.02622685,0.000000,0.000000
1577837021.49948287,0.03165016,0.00411453,0.00000395,71872.00000000,0.02585739,0.000000,0.000000
1577837021.59932113,0.03163757,0.00314422,0.00000399,71858.00000000,0.02638637,0.000000,0.000000
1577837021.69996214,0.03161768,0.00249455,0.00000404,71899.00000000,0.02330704,0.000000,0.000000
1577837021.79979491,0.03159713,0.00241430,0.00000397,71938.00000000,0.02298430,0.000000,0.000000
1577837021.89964008,0.03161074,0.00347185,0.00000547,71943.00000000,0.03732663,0.000000,0.000000
1577837021.99947500,0.03158824,0.00244181,0.00000377,71960.00000000,0.02211567,0.000000,0.000000
1577837022.09931111,0.03156638,0.00304644,0.00000429,71979.00000000,0.02234203,0.000000,0.000000
1577837022.19993186,0.03160191,0.00388070,0.00000668,71995.00000000,0.04663112,0.000000,0.000000
1577837022.29976702,0.03158843,0.00412214,0.00000426,71748.00000000,0.02587296,0.000000,0.000000
1577837022.39960694,0.03155687,0.00261279,0.00000370,71737.00000000,0.01814257,0.000000,0.000000
1577837022.49946189,0.03152022,0.00171916,0.00000323,71747.00000000,0.01590749,0.000000,0.000000
1577837022.59929800,0.03153739,0.00540221,0.00000545,71772.00000000,0.03887251,0.000000,0.000000
1577837022.69993806,0.03150089,0.00262089,0.00000329,71797.00000000,0.01587788,0.000000,0.000000
1577837022.79978395,0.03146125,0.00162033,0.00000323,71761.00000000,0.01445652,0.000000,0.000000
1577837022.89961600,0.03146846,0.00640486,0.00000533,71781.00000000,0.03456549,0.000000,0.000000
1577837022.99945807,0.03143016,0.00186981,0.00000327,71791.00000000,0.01492495,0.000000,0.000000
1577837023.09929013,0.03139924,0.00168172,0.00000392,71798.00000000,0.01803948,0.000000,0.000000
1577837023.19992399,0.03137590,0.00236303,0.00000459,71780.00000000,0.02126954,0.000000,0.000000
1577837023.29976511,0.03133420,0.00187833,0.00000338,71799.00000000,0.01324022,0.000000,0.000000
1577837023.39962006,0.03130159,0.00175946,0.00000369,71806.00000000,0.01711198,0.000000,0.000000
1577837023.49945021,0.03130076,0.00204979,0.00000429,71823.00000000,0.03094258,0.000000,0.000000
1577837023.59929705,0.03126808,0.00209428,0.00000392,71835.00000000,0.01698725,0.000000,0.000000
1577837023.69994497,0.03123939,0.00214848,0.00000366,71839.00000000,0.01866988,0.000000,0.000000
1577837023.79978704,0.03123086,0.00270393,0.00000404,71916.00000000,0.02748918,0.000000,0.000000
1577837023.89962006,0.03121569,0.00414100,0.00000359,72017.00000000,0.02453730,0.000000,0.000000
1577837023.99944186,0.03121985,0.00364505,0.00000413,72134.00000000,0.03305537,0.000000,0.000000
1577837024.09966683,0.03123365,0.00601933,0.00000425,72240.00000000,0.03733298,0.000000,0.000000
